a1,a2,a3,a4,a5,a6,a7,a8
2225.3,2296.3,2320.9,2343.6,2355.5,2371.9,2450.3,2618.8
2441.3,2465.8,2483.1,2489.4,2492.4,2582.2,2672.5,2706.9
2395.2,2474.5,2484,2482.6,2463.4,2506.8,2549.8,2545.6
2426.7,2475.6,2490.2,2483.6,2482.6,2547.2,2701,2680
2140.3,2161,2181.4,2176.6,2191,2338.8,2558.1,2618.3
2451.8,2455,2455.3,2467.2,2492.6,2568.8,2781.9,3625.2
2191.6,2306.2,2337.6,2351.5,2374.5,2383.9,2394.9,2408.6
2074.8,2304.8,2369.7,2315.8,2409.7,2506.5,2565.9,2566.7
2253.7,2350.8,2363.6,2375.3,2402.1,2433.5,2470.2,2742
2331.8,2402.7,2436.2,2454.7,2504.5,2813.8,3034.4,3251.6
2512.7,2562.3,2580.2,2591,2603.2,2678.5,2743.9,2751.7
2450.4,2501.7,2475.9,2585.9,2650.7,2654.1,2669.2,2855.3
2501.8,2503.2,2517.1,2511.4,2538.2,2627.2,2661.3,2743.6
2571.9,2602.1,2630.5,2628.1,2603.8,2727.3,2769.5,2762.9
2268.3,2348.9,2447.5,2554.6,2613,2613.7,2602.5,2604.3
1966.7,1983.4,1976.2,1980.7,1992.7,2769.1,2575.6,2899.6
2412.3,2456,2467.7,2451.1,2451.3,2470.8,2556.4,2625.7
2326.2,2336.1,2346.9,2354.9,2364.3,2389.7,2964.2,3014.8
2215.6,2256.6,2290.2,2279,2352.2,2677.7,2793.6,2798.7
2402.7,2419.4,2543.2,2652,2652.6,2604.5,2612,2891.4
2363,2358.1,2369.1,2368.9,2388.9,2434.6,2472.7,2537.7
2483.2,2521,2489.5,2533.1,2705.9,2861.3,2960.5,3028.8
1863,2027.4,2252,2589,2731.6,2981.8,3073.9,3114.4
2227.4,2399.1,2577.7,2808.6,2900.7,2932.5,2917.3,2602.6
2199.4,2143.4,2259.7,2477.8,2740.4,2937.4,2919.4,3151.1
2100.6,2645.9,2720.4,2763.3,3014.1,3024.2,2981.4,3117.4
2125.2,2401.5,2709.9,2827.8,2873.6,2992.4,3049.5,3203.4
1983.1,2039.4,2433.5,2354.7,2311.5,2556,2861.4,3218.8
1324.6,2228,2439.3,2472.2,2450.9,2474,2571.2,2741
1803.8,1655.5,1911,2441.4,2565.3,2750.1,2836.3,3025.9
2272.2,2256.3,2341.8,2376.5,2445.2,2515.5,2550.1,2636.5
1895.5,1998.5,2130.4,2168.5,2235.4,2322.5,2408.4,2577.4
1637.4,2152.4,2255.5,2340.3,2520.1,2696.6,2852.5,2979.3
2439.6,2563.7,2651.1,2480.7,2819.5,3487.1,3503.6,3536.8
2419.2,2499.7,2533.1,2563.6,2410.9,2718.1,2926.5,3178.1
1633.1,2002.6,2413.7,2445.8,2512,2598.4,2641,2711.9
1812.5,1779.3,1772.2,1883.3,2150.5,2657.7,2708.1,2838
1840.6,2136.1,2204,2204.9,2248.7,2356.1,2473.2,2683.4
1800.4,2191.1,2221,2197.6,2217.1,2278.9,2379.4,2476.7
2490.5,2525.1,2541,2500.5,2463.2,2488.2,3178.4,3265.8
2392.6,2451.9,2405.4,2501.9,2653.4,2655.8,2695.4,2745.7
1852.7,2276.7,2637.6,2647.8,2699.7,2681.7,2697.9,2773.9
1657.9,2553.9,2644.3,2347,2616.1,2676,2678.7,2695.6
1978.5,1987.9,1945.7,1923.1,2150.2,2761.7,2831.3,2934.3
1717.5,2269,2528.2,2160.6,2598,2643.2,2588.8,2663.7
2025.8,2494.3,2627.1,2630.6,2636.3,2650.8,2640.1,2731.9
1444.2,2053.1,2169.2,1918.1,2395.3,2774.8,2637.2,2970
1803.6,2474.5,2520.1,2659.6,2894.8,3106.2,3161.9,3198.7
1945.3,2421,2615,2710.2,2901.9,3031.3,3196.4,3516.4
2091.8,2300.1,2504,2502.4,2545.6,2632.6,2729.8,2842.7
1820.7,1823.8,1838.5,1876.4,2078,2268.2,2693.1,3140.6
1457.7,1719,2178.2,2188.4,2161.1,2163.8,2187.7,2243.3
1719.7,1803.3,2009,2532.4,2823,2938,2686.3,2684.8
2369.5,2480.3,2565.8,2477.7,2618.3,2860.6,2961,3064.7
1786.9,1975,2399.1,2442.4,2473.7,2659.9,2681.8,2638.6
2313.9,2500.6,2420.5,2685.3,3029.3,3059,3089.2,3131.1
1774.8,2347.8,2573.7,2452.4,2718,3201.7,3223.5,3433.3
2099.4,2038.8,1966.1,2606.3,2884.3,2927.5,2914.4,2963.4
2078.2,2668.2,2691.7,2710.4,2783.2,2766.5,2785.9,2857.2
2472.4,2764.7,2803,2887.3,2905.2,3139.5,3256.6,3243.9
1681.9,1677.3,1805.3,2190.3,2553.9,2507,2453.2,2662.3
1616.5,2397.3,2478.7,2490.3,2482.1,2528.4,2561.3,2609.6
2052.7,2369.1,2448.3,2451,2388.8,2689.8,3023.7,3011.3
2098.9,2469.6,2788.4,2868.9,2920.4,2990.9,2938.5,3196.6
1893.3,1935.4,1986.5,2133.6,2191.9,2425.8,2853.4,3120.2
2292.8,2455.1,2466.8,2957.9,2951.7,3093.1,2747.3,2785.8
1854.4,2117.1,2385.3,2589.7,2600.6,2863.3,2850.1,2869.4
1727.7,1832.9,2529.5,2713.5,2667.2,2826,3040.7,3526
1785.1,1849.4,2160.5,2275.1,2292.8,2380.2,2372.4,2374.4
2108.3,2205.3,2615.3,2626.6,2623.2,2617.5,2636.2,2718.5
1952,1991.3,2323.1,2594.9,2604.2,2605.5,2723.9,2863.2
2100.9,2253.4,2586.8,2622.8,2626.9,2629.5,2630.2,2656.1
1616,2457.6,2614.7,2619.5,2612.1,2624.3,2648.5,2687.4
2783.7,2877.5,2923,2950.8,2968.2,3090.1,3203.5,3374.2
1696.8,2006.3,2570,2594.9,2603.7,2659.4,2748.3,2894.2
2056,2443.1,2522.3,2523.1,2474.3,2746.9,2835.6,2916.1
1541.7,1767.5,2415.6,2520.6,2492.8,2532,2671.6,2784
2235.7,2272.5,2272.9,2205.3,2307.3,2725.3,2960.4,3129.3
1374.8,2276.6,2587.8,2580.8,2578.3,2701.7,2846,3538
2235.3,2388.4,2527.7,2573.8,2733.5,2813.8,2821.3,2903
2029.1,2035.3,2016.9,2016.7,2241.7,2303,2829.4,3084.9
2016,2319.5,2350.8,2432,2466.9,2572.1,2762.7,2997.7
1723.4,1828.1,1772,1764.8,2571.5,2885.9,2939.9,2742
1688.3,2175.2,2190.3,2180.2,2261.5,2330.1,2364.1,2468.3
2077.3,2566.1,2569.9,2505.6,2771.1,2790.9,2679.2,2954.8
2311,2387.4,2486.5,2425,2495.1,2632,2683.9,2748.1
2391.7,2451.7,2500.4,2477.6,2469.4,2735,2794.3,2810.4
2027.8,2040.9,2011.7,1984.6,2006,2252,2755.3,3031.9
1614,1916,2424.8,2462.8,2650.2,2664.8,2661.9,2734.1
1511.2,2186.3,2394,2522.3,2573.6,2534.6,2598.7,2758.4
1620.6,2421.3,2544.3,2566.7,2537.3,2516,2602.9,2734.1
2221.5,2453.3,2496.7,2517.9,2462.1,2613.6,2638.9,2664.5
2146.4,2611.3,2695.6,2604.5,2786.9,2943.1,2954.3,2997.3
1695.1,1814.6,1886.5,1949.8,2182.7,2541.6,2606.1,2612
2021.5,2275,2510.1,2602.8,2626.8,2685.6,2692,2719.6
2071.8,2359.3,2464.5,2486.5,2656.5,2699.2,2712.8,2989.3
1788.7,2445.7,2618.1,2627.7,2633.5,2632.6,2638,2652.2
1924.2,2599.4,2647.4,2664.1,2596.4,2621.1,2696.4,2698.4
1852.1,2244.5,2616.8,2656.6,2715.8,2729.9,2710.7,2776.2
1835.2,1829.8,1808.6,1809.3,1837.3,1896.5,1994.3,2446.8
1653,1743.7,1889.8,2165,2454.5,2756.3,2752.6,2728.4
2301.6,2470.3,2648.9,2537.2,2614.8,2717,2710,2710.4
1883,2139.6,2336.3,1903.5,2600.9,2771.8,2734.7,2725.5
2671.8,2785,2816.7,2866.8,2882.6,2907.5,3007.1,3044.6
