feature,binary_rank,binary_f_score,binary_p_value,threeclass_rank,threeclass_f_score,threeclass_p_value,ordinal_rank,ordinal_f_score,ordinal_p_value,avg_rank,top10_count
StddevVoicedSegmentLengthSec,22,0.9154819300440044,0.3434585321973229,37,0.472126798961162,0.6266000967974005,66,0.3852923061293987,0.8180027192640892,41.67,0
loudness_sma3_meanRisingSlope,42,0.3532845336052019,0.55505106549228,35,0.5273108902273311,0.5936402246661139,49,0.4598244088756499,0.7647544695754332,42.0,0
spectralFluxV_sma3nz_amean,32,0.5403303575673465,0.4658722837994378,48,0.333916185758942,0.7177987219090474,46,0.4783462153701239,0.7514132915885707,42.0,0
F1bandwidth_sma3nz_amean,72,0.0457307358981856,0.8315718161274284,41,0.4290565617162525,0.6536476760876289,13,1.06076875919083,0.3869684130261132,42.0,0
F1bandwidth_sma3nz_stddevNorm,18,0.963881782932095,0.3311336181475087,24,0.7859389210464917,0.4615881491359224,85,0.1728105305083289,0.951199880122756,42.33,0
F3frequency_sma3nz_amean,34,0.5077346203108406,0.4795707763255602,64,0.2486450413002704,0.7808760605248338,29,0.7828102911806187,0.5423408715580791,42.33,0
F1amplitudeLogRelF0_sma3nz_amean,29,0.5982487476405488,0.4430396462247216,51,0.3265607401163874,0.7230242138371552,47,0.4718189410117193,0.756115913169297,42.33,0
shimmerLocaldB_sma3nz_stddevNorm,44,0.3389093885464543,0.5631839961865913,75,0.1690594248461788,0.8449699474414152,9,1.2382935970286375,0.3082842621978714,42.67,1
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,58,0.1244442212530538,0.7258078972345274,47,0.3440141298123977,0.7106889389755358,25,0.8527764662227935,0.4995085902971122,43.33,0
F3amplitudeLogRelF0_sma3nz_stddevNorm,23,0.8103499480449592,0.3725111164533631,39,0.4637080254080921,0.6317937208530713,69,0.362147668907578,0.8342267363829272,43.67,0
equivalentSoundLevel_dBp,67,0.0772208153205168,0.7822930908932967,40,0.4522481124914048,0.6389356828615347,26,0.826087684782618,0.5155611672796252,44.33,0
spectralFlux_sma3_amean,35,0.507200795302566,0.4798006252874486,53,0.3190789605535798,0.7283801583313776,45,0.5066298359590203,0.7310460296386455,44.33,0
mfcc2V_sma3nz_stddevNorm,61,0.1001616720524972,0.7530079941344621,34,0.5536418286840089,0.5785555017494619,40,0.5585833561166318,0.6938387245032189,45.0,0
F2frequency_sma3nz_amean,49,0.2151595041614166,0.6448499063156475,62,0.2597598636515447,0.7723366770960447,28,0.7862492382523001,0.5401796300852455,46.33,0
hammarbergIndexV_sma3nz_amean,28,0.5990997348849594,0.4427174740252355,56,0.2933111408069779,0.7471451704411818,55,0.4245420207244736,0.7900934582594156,46.33,0
F3amplitudeLogRelF0_sma3nz_amean,33,0.5338949634289896,0.4685256208796171,54,0.3042889091052422,0.7390898999724442,53,0.4304665793323739,0.7858502004476068,46.67,0
loudness_sma3_stddevNorm,36,0.4942913250226939,0.485415432390703,42,0.3752191982961943,0.6891783507318492,63,0.3971533326446854,0.8096130046386244,47.0,0
alphaRatioV_sma3nz_amean,30,0.5869396669125706,0.4473563041302538,58,0.2874457279870761,0.7514865605393577,56,0.4180841809881629,0.7947112800360506,48.0,0
mfcc4_sma3_amean,50,0.1977081172327167,0.6585757050071732,45,0.3530866360414709,0.704363759073928,50,0.454436753945976,0.7686322519931478,48.33,0
F2bandwidth_sma3nz_stddevNorm,53,0.1787007389033393,0.6743800192191072,14,1.044280975675774,0.3599667483790073,80,0.2445252171050994,0.9114814893320268,49.0,0
alphaRatioUV_sma3nz_amean,39,0.427685507877609,0.5162479207666343,72,0.2094333712690944,0.8117964577886965,37,0.6000258526154849,0.6645331156166097,49.33,0
hammarbergIndexV_sma3nz_stddevNorm,71,0.0595990240556052,0.8081713360667573,38,0.4706541446185751,0.6275053695487202,41,0.5570833756477409,0.6949067996812057,50.0,0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,46,0.2822565453545476,0.5976760642632319,44,0.3585659024312804,0.7005721698074,60,0.4092901046996879,0.8009854746327113,50.0,0
mfcc4V_sma3nz_stddevNorm,69,0.0698508067143559,0.7926856396728483,79,0.0957468491715754,0.9088708037068473,3,2.70898848351295,0.0418225856306743,50.33,1
spectralFluxV_sma3nz_stddevNorm,73,0.0420649385166341,0.8383633259490788,18,0.8465528906228129,0.4353253691961297,61,0.4016228934301685,0.8064404166974866,50.67,0
