file,winner,F1,F2,F3,edit
25DM30Y18_mono_0014,4,4,4,4,0
25DM30Y18_mono_0015,1,1,1,1,0
25DM30Y18_mono_0016,3,3,3,3,0
25DM30Y18_mono_0017,2,2,2,2,0
25DM30Y18_mono_0018,3,3,3,3,0
25DM30Y18_mono_0019,6,6,6,6,0
25DM30Y18_mono_0020,4,4,4,4,0
25DM30Y18_mono_0021,2,2,2,2,0
25DM30Y18_mono_0022,4,4,4,4,0
25DM30Y18_mono_0023,1,1,1,1,0
25DM30Y18_mono_0024,3,3,3,3,0
25DM30Y18_mono_0025,3,3,3,3,0
25DM30Y18_mono_0026,5,5,5,5,0
25DM30Y18_mono_0027,2,2,2,2,0
25DM30Y18_mono_0028,1,1,1,1,0
25DM30Y18_mono_0029,6,6,6,6,0
25DM30Y18_mono_0030,6,6,6,6,0
25DM30Y18_mono_0031,1,1,1,1,0
25DM30Y18_mono_0032,3,3,3,3,0
25DM30Y18_mono_0033,6,6,6,6,0
25DM30Y18_mono_0034,3,3,3,3,0
25DM30Y18_mono_0035,4,4,4,4,0
25DM30Y18_mono_0036,1,1,1,1,0
25DM30Y18_mono_0037,3,3,3,3,0
25DM30Y18_mono_0038,1,1,1,1,0
25DM30Y18_mono_0039,5,5,5,5,0
25DM30Y18_mono_0040,5,5,5,5,0
25DM30Y18_mono_0041,8,8,8,8,0
25DM30Y18_mono_0042,8,8,8,8,0
25DM30Y18_mono_0043,3,3,3,3,0
25DM30Y18_mono_0044,4,4,4,4,0
25DM30Y18_mono_0045,1,1,1,1,0
25DM30Y18_mono_0046,1,1,1,1,0
25DM30Y18_mono_0047,3,3,3,3,0
25DM30Y18_mono_0048,3,3,3,3,0
25DM30Y18_mono_0049,6,6,6,6,0
25DM30Y18_mono_0050,7,7,7,7,0
25DM30Y18_mono_0051,4,4,4,4,0
25DM30Y18_mono_0052,3,3,3,3,0
25DM30Y18_mono_0053,8,8,8,8,0
25DM30Y18_mono_0054,2,2,2,2,0
25DM30Y18_mono_0055,6,6,6,6,0
25DM30Y18_mono_0056,2,2,2,2,0
25DM30Y18_mono_0057,2,2,2,2,0
25DM30Y18_mono_0058,3,3,3,3,0
25DM30Y18_mono_0059,2,2,2,2,0
25DM30Y18_mono_0060,4,4,4,4,0
25DM30Y18_mono_0061,1,1,1,1,0
25DM30Y18_mono_0062,2,2,2,2,0
25DM30Y18_mono_0063,8,8,8,8,0
25DM30Y18_mono_0064,5,5,5,5,0
25DM30Y18_mono_0065,2,2,2,2,0
25DM30Y18_mono_0066,6,6,6,6,0
25DM30Y18_mono_0067,8,8,8,8,0
25DM30Y18_mono_0068,7,7,7,7,0
25DM30Y18_mono_0069,2,2,2,2,0
25DM30Y18_mono_0070,6,6,6,6,0
25DM30Y18_mono_0071,4,4,4,4,0
25DM30Y18_mono_0072,7,7,7,7,0
25DM30Y18_mono_0073,3,3,3,3,0
25DM30Y18_mono_0074,7,7,7,7,0
25DM30Y18_mono_0075,4,4,4,4,0
25DM30Y18_mono_0076,7,7,7,7,0
25DM30Y18_mono_0077,7,7,7,7,0
25DM30Y18_mono_0078,3,3,3,3,0
25DM30Y18_mono_0079,3,3,3,3,0
25DM30Y18_mono_0080,6,6,6,6,0
25DM30Y18_mono_0081,4,4,4,4,0
25DM30Y18_mono_0082,5,5,5,5,0
25DM30Y18_mono_0083,4,4,4,4,0
25DM30Y18_mono_0084,5,5,5,5,0
25DM30Y18_mono_0085,5,5,5,5,0
25DM30Y18_mono_0086,4,4,4,4,0
25DM30Y18_mono_0087,2,2,2,2,0
25DM30Y18_mono_0088,8,8,8,8,0
25DM30Y18_mono_0089,6,6,6,6,0
25DM30Y18_mono_0090,7,7,7,7,0
25DM30Y18_mono_0091,3,3,3,3,0
25DM30Y18_mono_0092,2,2,2,2,0
25DM30Y18_mono_0093,5,5,5,5,0
25DM30Y18_mono_0094,3,3,3,3,0
25DM30Y18_mono_0095,4,4,4,4,0
25DM30Y18_mono_0096,1,1,1,1,0
25DM30Y18_mono_0097,4,4,4,4,0
25DM30Y18_mono_0098,8,8,8,8,0
25DM30Y18_mono_0099,6,6,6,6,0
25DM30Y18_mono_0100,2,2,2,2,0
25DM30Y18_mono_0101,2,2,2,2,0
25DM30Y18_mono_0102,6,6,6,6,0
25DM30Y18_mono_0103,1,1,1,1,0
25DM30Y18_mono_0104,4,4,4,4,0
25DM30Y18_mono_0105,7,7,7,7,0
25DM30Y18_mono_0106,3,3,3,3,0
25DM30Y18_mono_0107,4,4,4,4,0
25DM30Y18_mono_0108,3,3,3,3,0
25DM30Y18_mono_0109,5,5,5,5,0
25DM30Y18_mono_0110,3,3,3,3,0
25DM30Y18_mono_0111,8,8,8,8,0
25DM30Y18_mono_0112,2,2,2,2,0
25DM30Y18_mono_0113,2,2,2,2,0
25DM30Y18_mono_0114,2,2,2,2,0
25DM30Y18_mono_0115,2,2,2,2,0
25DM30Y18_mono_0116,1,1,1,1,0
25DM30Y18_mono_0117,3,3,3,3,0
25DM30Y18_mono_0118,8,8,8,8,0
25DM30Y18_mono_0119,7,7,7,7,0
25DM30Y18_mono_0120,6,6,6,6,0
25DM30Y18_mono_0121,2,2,2,2,0
25DM30Y18_mono_0122,2,2,2,2,0
25DM30Y18_mono_0123,2,2,2,2,0
25DM30Y18_mono_0124,3,3,3,3,0
25DM30Y18_mono_0125,3,3,3,3,0
25DM30Y18_mono_0126,2,2,2,2,0
25DM30Y18_mono_0127,2,2,2,2,0
25DM30Y18_mono_0128,5,5,5,5,0
25DM30Y18_mono_0129,1,1,1,1,0
25DM30Y18_mono_0130,2,2,2,2,0
25DM30Y18_mono_0131,3,3,3,3,0
25DM30Y18_mono_0132,5,5,5,5,0
25DM30Y18_mono_0133,3,3,3,3,0
25DM30Y18_mono_0134,2,2,2,2,0
25DM30Y18_mono_0135,2,2,2,2,0
25DM30Y18_mono_0136,6,6,6,6,0
25DM30Y18_mono_0137,4,4,4,4,0
25DM30Y18_mono_0138,4,4,4,4,0
25DM30Y18_mono_0139,6,6,6,6,0
25DM30Y18_mono_0140,4,4,4,4,0
25DM30Y18_mono_0141,4,4,4,4,0
25DM30Y18_mono_0142,4,4,4,4,0
25DM30Y18_mono_0143,5,5,5,5,0
25DM30Y18_mono_0144,6,6,6,6,0
25DM30Y18_mono_0145,3,3,3,3,0
25DM30Y18_mono_0146,6,6,6,6,0
25DM30Y18_mono_0147,6,6,6,6,0
25DM30Y18_mono_0148,8,8,8,8,0
25DM30Y18_mono_0149,8,8,8,8,0
25DM30Y18_mono_0150,3,3,3,3,0
25DM30Y18_mono_0151,2,2,2,2,0
25DM30Y18_mono_0152,5,5,5,5,0
25DM30Y18_mono_0153,4,4,4,4,0
25DM30Y18_mono_0154,3,3,3,3,0
25DM30Y18_mono_0155,2,2,2,2,0
25DM30Y18_mono_0156,2,2,2,2,0
25DM30Y18_mono_0157,6,6,6,6,0
25DM30Y18_mono_0158,2,2,2,2,0
