file,label,group,color,number
PLM47TO8W_mono_0089.wav,AH,3,Black,4444
PLM47TO8W_mono_0090.wav,OW,14,Maroon,4445
PLM47TO8W_mono_0091.wav,IY,13,Pink,4446
PLM47TO8W_mono_0092.wav,AE,2,Blue,4447
PLM47TO8W_mono_0093.wav,IH,11,Teal,4448
PLM47TO8W_mono_0094.wav,OW,14,Maroon,4449
PLM47TO8W_mono_0095.wav,IH,11,Teal,4450
PLM47TO8W_mono_0096.wav,AH,3,Black,4451
PLM47TO8W_mono_0097.wav,EY,10,Purple,4452
PLM47TO8W_mono_0098.wav,EH,8,Black,4453
PLM47TO8W_mono_0099.wav,ER,9,Lime,4454
PLM47TO8W_mono_0100.wav,IY,13,Pink,4455
PLM47TO8W_mono_0101.wav,AE,2,Blue,4456
PLM47TO8W_mono_0102.wav,AY,7,Magenta,4457
PLM47TO8W_mono_0103.wav,AE,2,Blue,4458
PLM47TO8W_mono_0104.wav,AE,2,Blue,4459
PLM47TO8W_mono_0105.wav,IH,11,Teal,4460
PLM47TO8W_mono_0106.wav,AH,3,Black,4461
PLM47TO8W_mono_0107.wav,AE,2,Blue,4462
PLM47TO8W_mono_0108.wav,UW,17,Cyan,4463
PLM47TO8W_mono_0109.wav,AY,7,Magenta,4464
PLM47TO8W_mono_0110.wav,UH,16,Silver,4465
PLM47TO8W_mono_0111.wav,AH,3,Black,4466
PLM47TO8W_mono_0112.wav,IY,13,Pink,4467
PLM47TO8W_mono_0113.wav,IH,11,Teal,4468
PLM47TO8W_mono_0114.wav,AH,3,Black,4469
PLM47TO8W_mono_0115.wav,IH,11,Teal,4470
PLM47TO8W_mono_0116.wav,OW,14,Maroon,4471
PLM47TO8W_mono_0117.wav,OW,14,Maroon,4472
PLM47TO8W_mono_0118.wav,AY,7,Magenta,4473
PLM47TO8W_mono_0119.wav,OW,14,Maroon,4474
PLM47TO8W_mono_0120.wav,AE,2,Blue,4475
PLM47TO8W_mono_0121.wav,OW,14,Maroon,4476
PLM47TO8W_mono_0122.wav,ER,9,Lime,4477
PLM47TO8W_mono_0123.wav,ER,9,Lime,4478
PLM47TO8W_mono_0124.wav,AH,3,Black,4479
PLM47TO8W_mono_0125.wav,EY,10,Purple,4480
PLM47TO8W_mono_0126.wav,AH,3,Black,4481
PLM47TO8W_mono_0127.wav,ER,9,Lime,4482
PLM47TO8W_mono_0128.wav,AE,2,Blue,4483
PLM47TO8W_mono_0129.wav,IH,11,Teal,4484
PLM47TO8W_mono_0130.wav,IH,11,Teal,4485
PLM47TO8W_mono_0131.wav,IH,11,Teal,4486
PLM47TO8W_mono_0132.wav,OW,14,Maroon,4487
PLM47TO8W_mono_0133.wav,AH,3,Black,4488
PLM47TO8W_mono_0134.wav,AE,2,Blue,4489
PLM47TO8W_mono_0135.wav,UW,17,Cyan,4490
PLM47TO8W_mono_0136.wav,IH,11,Teal,4491
PLM47TO8W_mono_0137.wav,EH,8,Black,4492
PLM47TO8W_mono_0138.wav,AA,1,Red,4493
PLM47TO8W_mono_0139.wav,IY,13,Pink,4494
PLM47TO8W_mono_0140.wav,OW,14,Maroon,4495
PLM47TO8W_mono_0141.wav,AW,5,Olive,4496
PLM47TO8W_mono_0142.wav,AE,2,Blue,4497
PLM47TO8W_mono_0143.wav,AH,3,Black,4498
PLM47TO8W_mono_0144.wav,AY,7,Magenta,4499
PLM47TO8W_mono_0145.wav,AE,2,Blue,4500
PLM47TO8W_mono_0146.wav,ER,9,Lime,4501
PLM47TO8W_mono_0147.wav,AH,3,Black,4502
PLM47TO8W_mono_0148.wav,UW,17,Cyan,4503
PLM47TO8W_mono_0149.wav,AY,7,Magenta,4504
PLM47TO8W_mono_0150.wav,AH,3,Black,4505
PLM47TO8W_mono_0151.wav,AH,3,Black,4506
PLM47TO8W_mono_0152.wav,IH,11,Teal,4507
PLM47TO8W_mono_0153.wav,EY,10,Purple,4508
PLM47TO8W_mono_0154.wav,IY,13,Pink,4509
PLM47TO8W_mono_0155.wav,EH,8,Black,4510
PLM47TO8W_mono_0156.wav,EY,10,Purple,4511
PLM47TO8W_mono_0157.wav,AY,7,Magenta,4512
PLM47TO8W_mono_0158.wav,AA,1,Red,4513
PLM47TO8W_mono_0159.wav,ER,9,Lime,4514
PLM47TO8W_mono_0160.wav,AH,3,Black,4515
PLM47TO8W_mono_0161.wav,AH,3,Black,4516
PLM47TO8W_mono_0162.wav,AA,1,Red,4517
