e1,e2,e3,e4,e5,e6,e7,e8
444.4,416.9,366.9,146.3,139,142.4,109.8,151.7
51.6,65.5,74.8,60.7,68.1,88,83.2,77.1
97.4,10145.8,10514.4,421.3,325,557.7,88,86.1
620,359.4,331.1,274.9,262.8,148.4,130.4,136.6
10100.2,10087.8,10093.5,10105.4,162.9,174.6,251.6,317.4
347.6,403.5,391.7,306.4,331.4,155,161.3,405.6
799.2,758.1,117,83.5,91,87.1,83.7,105
33.1,31.4,39.9,58.6,55.9,80.7,82.5,45.8
85.5,83.3,162.7,82.7,74.8,64.7,86.4,181.4
10051.4,572.7,15.5,16.9,45,22.1,127.5,221.4
88.7,369.8,716.8,38.1,22,59.4,245.1,274.6
296.8,10085.4,67.6,42.2,50.6,118.9,276.5,188.5
10103.5,10459.2,70,263.8,167.4,92,108.8,103
10406.5,257.7,64.2,101.5,100.4,94.1,122.6,105.8
33.9,34.9,30.8,59.3,65.8,73.9,109.5,762.3
10109.3,140,57.1,83.4,91.9,190.2,195.5,164.8
306,493.7,702.8,265.4,458,251.8,236.9,245.3
10051.8,10518.3,442.5,387.1,516.7,136.3,73.1,128.7
10092,247.1,218.2,82.3,410.5,121.9,106.6,165.8
241.8,235,414.3,1192.4,1247.6,1482.3,623.7,195.5
416,499.6,115.3,93.2,116.2,154,125.3,264.2
209.1,575.5,447.3,88.5,95.2,74,69.7,124.6
302.2,334.3,617.2,166.7,197.8,151.7,221,370.1
10102.3,486.6,84.9,211.7,152.2,156.6,147,130.4
10104,316.9,299.3,289.1,150.7,147.7,166,153.1
10375.7,122.4,205.7,108.6,151.8,331.2,334.6,290.6
103.3,10306.5,420.4,260.5,129.6,154.5,158.6,142.9
10109.2,10092.1,179.1,112.6,355.7,59.4,53.5,64.4
10066.4,10053.9,530.5,420.7,30.9,34.7,49.6,88
214.5,509.3,670.7,677.6,155.3,225,225.2,345.5
255.5,61.6,614.7,71.3,63.7,129.7,99.2,75.3
10081.1,198.6,186.3,262.9,212.5,157.5,163.4,142.1
128.6,281.5,295,263.1,188.5,185.5,152.9,151.9
205.2,414.4,217.5,252,132.4,96.7,124.8,139.6
269.5,10386.5,46,49.3,48.2,78.4,208,472.4
10091.6,10425,507.6,718.3,783.6,589.6,317.9,321
10178.3,404.3,531.3,380.3,238.4,227.7,179.4,401.3
217.6,290.7,338.7,165.4,102.4,122.3,143.5,336.5
10348.2,188.8,333.6,176.5,106.4,133.3,185.2,233.5
10120.5,10623.4,70.4,90.1,76.3,93.4,135,183.2
10264.3,152.7,237,235.5,211.2,111.8,97.6,96.7
10219.9,279.8,41.4,59.6,69.4,56.9,46.3,54.9
121,135.5,92.2,206.8,219.7,538,71,78.6
174.8,116.8,75.6,61,103.1,294.2,325.7,336
147.6,10076.8,10159.7,525.8,44.9,81.3,77.4,91.8
10076.7,10095.7,10087.9,10444.4,108.3,99.8,182.1,655.1
10637.3,689.2,449.6,309.2,215.3,136.7,173,226.5
10040.1,10406.1,47.6,36.4,38.9,47.7,65.2,62.1
10045,10796.3,45.5,355.1,325,45.5,44.6,55.1
10138.4,10593.3,123.4,123.4,127.1,137.6,127.8,159.7
256.3,237.2,429,104.3,160.8,141,129.9,161.3
10414,858.1,49.7,92.5,109.4,166.2,164.8,181.9
10270.7,277.7,44.4,46.6,41.6,37.6,80.9,243.9
10335.6,10566.1,345.2,418.7,100.2,97.8,140.7,259.1
81.7,87.4,273.3,567,68,110.8,106.2,107.4
107.8,210.5,132.7,171.7,172,165.1,186.7,184.1
10455.1,366.1,531.6,248.2,193.2,248.1,313.7,277.5
10264.8,445.9,326.4,121.3,133.4,164.4,161.9,156.9
175.9,304.9,55.5,108.8,152.8,134.3,81.6,88.7
10060.4,115.9,90.4,110.2,69.4,64.5,83.3,81.9
210.6,107.3,182.6,146.8,640.5,338.9,365,254.3
10107.3,265.2,157.6,287.9,273.2,306.3,335.9,149
505.7,524.7,119.2,226.8,112.8,106.7,115.3,137.4
10468.5,312.1,286.1,239.5,207.6,162.9,88.9,104.3
10103.8,10363.1,58.3,88.6,80.2,123.3,418.9,412.5
10083.4,10723.6,623.4,406.2,241.8,391.6,388.5,406.5
783.3,236.1,312.5,353.9,415.8,503.4,515.1,126.6
165.3,10112.2,309.7,137.9,206.4,185.7,559.6,555.1
250.1,351.5,352.7,442,459.7,429.5,203.1,200.4
368.8,494.9,505.2,385.2,473.7,514.9,575.8,489.2
10112.2,517,56,143.6,68.9,47.9,47.5,56.7
10183.9,308.2,357.7,434.6,92.6,85.6,85.8,81.8
130.9,118.9,481.1,243.9,95.4,111.4,91.6,87.4
145.1,321.6,320.3,189.2,150.3,205.4,150.2,133.3
80.2,383.4,425.8,303.9,502,88,77,90.5
388.7,102.9,74.2,83.8,248,309.6,339.2,351.5
10474.9,208.6,269,282.5,220.3,181,165.7,241.3
10066.8,107,248.5,218.5,162.4,159.2,163.8,162.6
281.6,258.1,679.9,505.1,270.9,171.3,231.5,260
283.2,556,44.6,89.6,49,110.8,60.4,76.5
629.4,165.6,100.3,241.4,228.6,180.9,321.7,595.1
143.4,325.6,438.5,195.9,170.9,197.3,168.2,128.4
10474.3,62.7,69.5,68.8,363.4,365.5,442.1,632.4
349.6,413.7,131.6,104.1,40,52.2,47.4,49.9
10144.3,10273.1,213.4,182.6,139.5,160,380.7,1179.8
102.2,87,153.3,214.1,321.7,42.7,39.7,29.8
356.8,204,256.8,131.3,177.4,215.3,240.5,238.3
10062,10339.5,295.2,36.8,48.9,46,86,102.5
256.8,232.3,374.5,246.1,133.3,140.3,156.4,183.6
45,374.7,40.6,76.9,60.4,140.8,211.2,190.9
