file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
VI,19.7178,20.8724,VI,-42.90534137228261,,,9.134890398130183
VI,21.0299,22.4993,VI,-44.904027822066325,,,11.534777064233246
VI,22.7827,23.0346,VI,-48.31947265625,,,5.9809670082074575
VI,23.9,26.0517,VI,-44.14596202761628,,,11.014471266755185
VI,26.0937,27.2903,VI,-45.17532552083333,,,10.751133097526303
VI,27.466,29.1769,VI,-44.10417523300438,,,14.455769457738862
VI,29.4917,31.0977,VI,-47.33075444002329,,,11.195561178834227
VI,31.8969,34.0591,VI,-45.675161856192126,,,11.428621815255
VI,34.2983,35.222,VI,-44.76464313009511,,,9.254176670511377
VI,35.7573,38.035,VI,-43.07667300575658,,,10.974796013471687
VI,38.2029,39.8823,VI,-45.56541515531994,,,14.647582119440926
VI,40.4038,41.3485,VI,-48.683230136303195,,,13.014113163493974
VI,41.6738,42.524,VI,-45.53302791819853,,,10.61021984042384
VI,42.558,44.9301,VI,-46.07200603243671,,,11.752068502946674
VI,45.4234,46.2106,VI,-47.045957154865505,,,13.66732398237595
VI,46.3051,46.9979,VI,-45.89834904325181,,,12.938561052465763
VI,47.2918,48.037,VI,-45.62552408854167,,,10.138268435561532
PS,0.2937,2.3679,Meow,-53.64603619414251,,,13.94659341308774
PS,2.4461,4.5247,Meow,-54.09820556640625,,,23.78222882394102
PS,4.8769,5.9118,Meow,-58.66471196146845,,,24.3220022314421
PS,6.6147,8.3845,Meow,-56.454879502118644,,,20.401433542007364
PS,8.4628,10.8718,Meow,-58.310664386670126,,,28.480347990493243
PS,11.8479,12.7872,Meow,-55.112881274933514,,,18.080576102352488
PS,13.2825,16.4438,Meow,-56.24577234968354,,,13.38911563141337
PS,17.3272,20.2188,Meow,-56.503639300389274,,,26.500591827288872
PS,20.6015,21.4625,Meow,-62.53860260719477,,,26.04628207107625
PS,22.5828,24.8353,Meow,-55.2420703125,,,27.029040721809665
PS,25.1049,27.1747,Meow,-53.11305951841788,,,25.663054844225798
PS,28.1733,29.4604,Meow,-52.785220597141475,,,19.78732133402734
PS,29.63,31.652,Meow,-55.09378867574257,,,23.454124888399335
PS,32.222,33.97,Meow,-54.651791294642855,,,22.0852210169613
PS,34.4008,36.1315,Meow,-61.487152276011564,,,18.255318395066606
PS,37.5421,40.0555,Meow,-54.608293388944226,,,16.823592593484577
PS,40.4642,41.7731,Meow,-60.29066525524809,,,18.99319217743048
PS,43.7283,45.4894,Meow,-50.44123979048295,,,20.51548988662202
PS,45.7721,46.6287,Meow,-49.221441224563954,,,12.657428445043132
PS,46.9109,48.8807,Meow,-56.550974579631976,,,14.552698644740158
PS,49.5243,50.5679,Meow,-56.62401404747596,,,17.91654002526946
PS,50.8766,51.7767,Meow,-50.422998046875,,,18.684921890532422
PS,51.7984,54.751,Meow,-59.09206832627119,,,21.900434148848777
PS,55.5526,57.6877,Meow,-58.025121385806074,,,24.49602308093172
DH,0.0756,3.5862,Meow,-50.21211716524216,,,12.994012992915408
DH,3.8817,4.8028,Meow,-45.59798000169837,,,15.212249356509524
DH,5.4184,7.4517,Meow,-51.1514201046798,,,18.235307301224353
DH,7.892,9.9254,Meow,-49.470265355603445,,,19.04674579903341
DH,11.0474,11.8642,Meow,-50.535995855564025,,,18.735697189748286
DH,12.0438,15.4444,Meow,-49.68363396139706,,,16.837130033072057
DH,16.2825,17.1109,Meow,-51.47666250941265,,,17.38482375087362
DH,17.7945,20.8127,Meow,-50.35401684085265,,,19.135469945222113
DH,20.9873,21.7462,Meow,-47.31089381167763,,,14.86636648214165
DH,22.4983,24.3579,Meow,-47.81895791330645,,,17.535015255295978
DH,24.4506,26.5245,Meow,-44.53830766908212,,,15.309514721997472
DH,27.8725,29.147,Meow,-47.826752429872045,,,18.08564785122523
DH,29.2396,31.4932,Meow,-47.31666232638889,,,11.024823599536115
DH,31.9837,33.8201,Meow,-49.580810546875,,,15.079521277527068
DH,34.272,36.2185,Meow,-49.993584735576924,,,16.89171851227392
DH,37.1445,39.6007,Meow,-50.76903899898374,,,15.335602943814685
